"Source","ProjectName","McCC","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NATTR","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","DD","DDD","nbugs","bug"
"GitHub","antlr4-4.2",6,0.751092,1,6,2,0.384615,0.604651,30,26,1,1,1,9,5,1,1,4,8,1,0.426667,32,32,5,0,0.426667,32,1,1,0,0,1,43,78,3,0,3,0,4,0,4,0,4,22,0,4,0,43,78,3,0,3,0,4,0,4,0,4,22,0,4,0,13,0.302325581395349,0,"clean"
"GitHub","antlr4-4.2",40,0,0,0,0,0,0,0,0,1,2,2,46,5,1,0,5,15,0.333333,0.359133,116,95,2,4,0.336111,121,0,0,0,0,0,207,387,16,6,16,6,10,0,5,0,10,109,0,5,0,239,429,48,12,16,7,13,0,8,0,50,126,27,41,0,61,0.255230125523013,0,"clean"
"GitHub","antlr4-4.2",4,0,0,0,0,0,0,0,0,1,2,2,7,1,1,2,1,5,0.2,0.0888889,4,4,1,4,0.0888889,4,3,3,1,1,1,41,45,9,3,1,1,4,0,4,0,26,19,5,26,0,41,45,9,3,1,1,4,0,4,0,26,19,5,26,0,17,0.414634146341463,0,"clean"
"GitHub","antlr4-4.2",16,0,0,0,0,0,0,0,0,3,3,3,37,3,12,59,0,22,0.304348,0.259459,48,25,7,16,0.259459,48,2,2,1,2,1,137,200,8,2,6,2,22,3,22,0,22,62,5,22,0,137,200,8,2,6,2,22,3,22,0,22,62,5,22,0,103,0.751824817518248,0,"clean"
"GitHub","antlr4-4.2",3,0,0,0,0,0,0,0,0,3,1,1,5,7,3,0,4,7,1,0.637931,37,37,4,0,0.637931,37,2,2,0,0,1,21,34,3,6,0,0,3,0,3,0,27,11,0,10,0,21,34,3,6,0,0,3,0,3,0,27,11,0,10,0,9,0.428571428571429,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,4,0,0,4,8,4,0,0,4,0.2,0.152174,7,7,1,4,0.152174,7,1,1,4,5,1,39,42,0,0,0,0,4,0,4,0,4,0,0,4,0,39,42,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,0,"clean"
"GitHub","antlr4-4.2",58,0,0,0,0,0,0,0,0,3,3,3,94,9,11,57,9,46,0.344828,0.286082,111,98,10,19,0.286082,111,2,2,1,2,1,277,427,6,14,4,14,37,0,28,1,37,176,2,28,1,277,427,6,14,4,14,37,0,28,1,37,176,2,28,1,171,0.617328519855596,1,"bug"
"GitHub","antlr4-4.2",9,0,0,0,0,0,0,0,0,1,1,1,31,8,19,11,16,39,0.166667,0.350649,81,80,4,20,0.350649,81,2,2,12,12,1,150,260,16,10,10,10,23,0,23,8,23,62,6,23,8,150,260,16,10,10,10,23,0,23,8,23,62,6,23,8,48,0.32,0,"clean"
"GitHub","antlr4-4.2",4,0,0,0,0,0,0,0,0,2,2,1,7,6,1,1,7,11,0.6,0.628571,44,44,3,2,0.628571,44,1,1,0,0,1,26,72,2,0,2,0,4,1,4,0,4,11,1,4,0,26,72,2,0,2,0,4,1,4,0,4,11,1,4,0,16,0.615384615384615,0,"clean"
"GitHub","antlr4-4.2",12,0,0,0,0,0,0,0,0,1,2,2,17,4,13,56,8,14,0.8,0.518868,55,48,4,1,0.518868,55,3,3,1,1,1,51,88,7,15,1,1,6,0,4,0,43,37,2,32,1,51,88,7,15,1,1,6,0,4,0,43,37,2,32,1,45,0.882352941176471,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,1,0.59375,19,19,2,0,0.59375,19,2,2,0,0,1,13,30,1,0,1,0,1,1,1,0,5,1,1,5,0,13,30,1,0,1,0,1,1,1,0,5,1,1,5,0,3,0.230769230769231,0,"clean"
"GitHub","antlr4-4.2",38,0,0,0,0,0,0,0,0,1,3,2,61,23,2,0,41,65,1,0.62828,431,383,8,0,0.62828,431,1,1,1,1,1,255,718,3,6,3,6,24,0,7,0,24,139,0,7,0,255,718,3,6,3,6,24,0,7,0,24,139,0,7,0,96,0.376470588235294,0,"clean"
"GitHub","antlr4-4.2",9,0,0,0,0,0,0,0,0,1,1,1,15,11,2,4,5,12,0.5,0.365079,46,46,3,3,0.365079,46,2,2,1,1,1,80,118,1,2,1,2,7,0,5,0,11,35,0,9,0,80,118,1,2,1,2,7,0,5,0,11,35,0,9,0,43,0.5375,0,"clean"
"GitHub","antlr4-4.2",3,0,0,0,0,0,0,0,0,1,1,1,9,10,2,1,7,14,0.142857,0.0980392,5,5,1,6,0.0980392,5,1,1,0,0,1,46,56,8,9,3,3,7,0,6,0,17,18,0,14,2,46,56,8,9,3,3,7,0,6,0,17,18,0,14,2,16,0.347826086956522,0,"clean"
